site,site_name,k_mean,k_se,k_observs,light_observs,em_mn,em_se,df,lower.CL,upper.CL
P7CBI,CLAPBOARD ISLAND - P7CBI,0.41153965132342907,0.018294007206770848,18,207,0.405215657501795,0.028921476165834514,263.5069167940026,0.35208948103421644,0.4663579514000162
FR09,FORE RIVER - FR09,0.49696752461195853,0.012844678295932107,30,418,0.493402344654595,0.028658791548085972,263.5069167940026,0.4400802460288612,0.5531851881729001
P6FGG,FORT GORGES - P6FGG,0.49718114538655794,0.024090452167728357,18,193,0.49936479720843,0.03298503204625689,263.5069167940026,0.4384632968205651,0.5687253699437141
FR07,FORE RIVER - FR07,0.5644085565463063,0.06244253857370494,3,43,0.5653326478626705,0.10458269862160977,263.5069167940026,0.39274530112137107,0.8137614933314024
FR05A,FORE RIVER - FR05A,0.5946173957965574,NA,1,14,0.5982193799284493,0.20264045060565405,263.5069167940026,0.30703974820486657,1.1655377800896276
HR05,HARRASEEKET RIVER - HR05,0.6082730609413072,0.0441445614617599,3,42,0.6073434956068487,0.1123772445325857,263.5069167940026,0.42189966384151967,0.8742982118006746
FR04,FORE RIVER - FR04,0.6160276825119445,0.036785869947605646,4,55,0.6149204069973977,0.10526959063039709,263.5069167940026,0.4389625393385126,0.8614108791872255
BMR02,BANDM RAILROAD TRESTLE - BMR02,0.629065483199249,0.014929112774398741,28,237,0.6270584064615423,0.03399675399181509,263.5069167940026,0.5635677132929884,0.6977018658797266
LC02,LONG CREEK - LC02,0.6291342243322552,0.041066524882288,4,29,0.6332020985893667,0.09435449747995357,263.5069167940026,0.4721914729432012,0.8491150743550315
HR04,HARRASEEKET RIVER - HR04,0.6456686645660755,0.019209661122565825,3,39,0.6467475831960285,0.11812949964292904,263.5069167940026,0.4513818536060161,0.9266709173802924
EEB18,EAST END BEACH - EEB18,0.6525583206981862,0.016380589921013152,28,215,0.6483862011094141,0.032810858032102916,263.5069167940026,0.586895681382382,0.7163192354710651
CBPR,PRESUMPSCOT RIVER - CBPR,0.6681725659201303,0.044423254952656824,28,204,0.668095684584947,0.033835483434438124,263.5069167940026,0.6046874279104749,0.7381530079158717
FR03,FORE RIVER - FR03,0.7014607057547508,0.10555837307454588,4,40,0.6934508835627121,0.10383642820313033,263.5069167940026,0.5163804557992987,0.9312399850020797
FR05B,FORE RIVER - FR05B,0.7179815386268845,NA,1,11,0.7223308195719198,0.22816560204219494,263.5069167940026,0.38781357986703285,1.3453933538952774
PR-28,PRESUMPSCOT RIVER - PR-28,0.7548567535363355,0.05400168996232563,30,309,0.7658927385626789,0.039818045453313744,263.5069167940026,0.6913700992204465,0.8484481577153116
HR03,HARRASEEKET RIVER - HR03,0.7865524771236627,0.005692696772746746,3,31,0.790421817534715,0.12604646655776966,263.5069167940026,0.5774225736998279,1.0819920766721984
RR-19,ROYAL RIVER - RR-19,0.9360649225542435,0.0646030634525719,4,32,0.9363463626527452,0.10936163351210049,263.5069167940026,0.7439791406005034,1.1784530815546268
PR-17,PRESUMPSCOT RIVER - PR-17,1.0286730508269049,0.09909237847154624,24,213,1.0766910458362047,0.051532811948862715,263.5069167940026,0.9798570792800189,1.1830945886880422
HR02,HARRASEEKET RIVER - HR02,1.0413865778812792,0.03802272643739074,3,27,1.0474100233303385,0.16745240426694508,263.5069167940026,0.7645481124210838,1.434923112292817
PRV70,WALTON PARK - PRV70,1.0625892878366614,0.056531885079502645,25,218,1.0900047183764534,0.05352985356715054,263.5069167940026,0.98953966475942,1.200669693591099
RR-01,ROYAL RIVER - RR-01,1.1154978223292613,0.055718542962128526,5,44,1.1464660554687074,0.10188913709268291,263.5069167940026,0.9624182875006189,1.3657101422661109
RR-13,ROYAL RIVER - RR-13,1.1168182705042558,0.09504900126522876,7,58,1.198450949620158,0.09866828605205386,263.5069167940026,1.0191019107907826,1.4093631494920456
RR-06,ROYAL RIVER - RR-06,1.1898009426169096,0.07976605998222812,7,62,1.2693148873878473,0.11103094672808801,263.5069167940026,1.0684853120911177,1.507891840077094
RR-20,ROYAL RIVER - RR-20,1.197243626956229,0.07294788062556681,3,29,1.1480399614833823,0.16272318783464712,263.5069167940026,0.8684623738781717,1.5176198679479633
CR-31,COUSINS RIVER - CR-31,1.3223947981325115,0.2884824488939607,5,43,1.3052555448286018,0.15226479031651996,263.5069167940026,1.0373858747443265,1.6422934597270291
CR-44,COUSINS RIVER - CR-44,1.8379229895153193,0.6091841347689407,3,24,2.1505937769792847,0.2519538772564559,263.5069167940026,1.7075574137701934,2.708578672836634
